unique_carrier,sdomt_gallons,tdomt_gallons,ts_cost,tdomt_cost
09Q,0.0,484770.0,0,1504939
0WQ,0.0,38515.0,0,141350
2HQ,89988.0,,252948,1785834
5V,309045.0,364447.0,837738,987918
5X,39478000.0,39478000.0,143375000,79343000
5Y,0.0,11947570.0,0,23833293
8C,0.0,74865.0,0,173708
9S,676247.0,676247.0,11212289,1420119
AA,173505482.0,174171571.0,558826129,338396257
ABX,44160.0,44160.0,100111,100111
AS,56426937.0,56468118.0,124581290,121153924
B6,53977431.0,53985306.0,142005277,114629092
DL,155927269.0,157691468.0,541578521,326289455
F9,19838849.0,19838849.0,43579944,38873888
FX,56827364.0,58608033.0,187232000,117140326
G4,13661026.0,14124731.0,30199307,31266501
GFQ,0.0,191279.0,0,462989
GL,0.0,363126.0,0,1139536
HA,15104660.0,15115998.0,44096863,29894018
KAQ,0.0,698701.0,0,1434317
KD,0.0,586944.0,0,965656
KH,432202.0,432202.0,863451,863451
KLQ,0.0,89058.0,0,238881
L2,92605.0,168707.0,221954,432443
M6,0.0,382418.0,3054888,838302
N8,0.0,48091.0,0,122419
NC,359210.0,473048.0,808844,1052458
NK,29081619.0,29081619.0,69562682,63997667
OO,7718601.0,7718601.0,18509402,18509402
PO,2702434.0,2702434.0,28696165,5474104
SY,3173913.0,3605952.0,9692100,8392084
U7,0.0,327303.0,0,667469
UA,120128303.0,120886857.0,505600266,239129660
WL,0.0,21791.0,0,55729
X9,0.0,375924.0,0,802044
XP,0.0,304290.0,0,687478
YX,22451.0,22451.0,52500,52500
WN,161138026.0,161332466.0,319313619,315397696
